species_name,phylum,class,order,family,habitat,trophic_level,depth_range_m,body_size_cm,commercial_importance
Sardinops sagax,Chordata,Actinopterygii,Clupeiformes,Clupeidae,pelagic,planktivore,0-200,25,high
Engraulis mordax,Chordata,Actinopterygii,Clupeiformes,Engraulidae,pelagic,planktivore,0-300,18,high
Scomber japonicus,Chordata,Actinopterygii,Scombriformes,Scombridae,pelagic,carnivore,0-300,50,high
Dosidicus gigas,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,pelagic,carnivore,0-1200,120,high
Octopus bimaculatus,Mollusca,Cephalopoda,Octopoda,Octopodidae,benthic,carnivore,0-50,30,medium
Panulirus interruptus,Arthropoda,Malacostraca,Decapoda,Palinuridae,benthic,omnivore,0-30,40,high
Callinectes bellicosus,Arthropoda,Malacostraca,Decapoda,Portunidae,benthic,omnivore,0-50,20,high
Megapitaria squalida,Mollusca,Bivalvia,Venerida,Veneridae,benthic,filter_feeder,0-30,10,medium
Atrina maura,Mollusca,Bivalvia,Pteriida,Pinnidae,benthic,filter_feeder,0-50,30,medium
Isostichopus fuscus,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,benthic,detritivore,0-40,35,high
Holothuria inhabilis,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,benthic,detritivore,0-30,25,low
Spondylus calcifer,Mollusca,Bivalvia,Pectinida,Spondylidae,benthic,filter_feeder,5-50,15,high
Crassostrea gigas,Mollusca,Bivalvia,Ostreida,Ostreidae,benthic,filter_feeder,0-10,20,high
Lutjanus peru,Chordata,Actinopterygii,Perciformes,Lutjanidae,demersal,carnivore,10-80,60,high
Lutjanus argentiventris,Chordata,Actinopterygii,Perciformes,Lutjanidae,demersal,carnivore,5-60,55,high
Mycteroperca rosacea,Chordata,Actinopterygii,Perciformes,Serranidae,demersal,carnivore,5-80,70,high
Epinephelus labriformis,Chordata,Actinopterygii,Perciformes,Serranidae,demersal,carnivore,3-50,50,medium
Balistes polylepis,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,demersal,omnivore,3-50,40,low
Semicossyphus pulcher,Chordata,Actinopterygii,Labriformes,Labridae,demersal,carnivore,3-60,90,medium
Caulolatilus princeps,Chordata,Actinopterygii,Perciformes,Malacanthidae,demersal,carnivore,10-150,60,medium
Thunnus albacares,Chordata,Actinopterygii,Scombriformes,Scombridae,pelagic,carnivore,0-250,200,high
Katsuwonus pelamis,Chordata,Actinopterygii,Scombriformes,Scombridae,pelagic,carnivore,0-260,100,high
Coryphaena hippurus,Chordata,Actinopterygii,Carangiformes,Coryphaenidae,pelagic,carnivore,0-85,150,high
Makaira nigricans,Chordata,Actinopterygii,Istiophoriformes,Istiophoridae,pelagic,carnivore,0-200,400,high
Istiophorus platypterus,Chordata,Actinopterygii,Istiophoriformes,Istiophoridae,pelagic,carnivore,0-200,300,high
Chelonia mydas,Chordata,Reptilia,Testudines,Cheloniidae,pelagic,herbivore,0-20,120,protected
Lepidochelys olivacea,Chordata,Reptilia,Testudines,Cheloniidae,pelagic,omnivore,0-150,70,protected
Dermochelys coriacea,Chordata,Reptilia,Testudines,Dermochelyidae,pelagic,carnivore,0-1200,180,protected
Zalophus californianus,Chordata,Mammalia,Carnivora,Otariidae,pelagic,carnivore,0-274,200,protected
Mirounga angustirostris,Chordata,Mammalia,Carnivora,Phocidae,pelagic,carnivore,0-1500,300,protected
Eschrichtius robustus,Chordata,Mammalia,Artiodactyla,Eschrichtiidae,pelagic,filter_feeder,0-120,1400,protected
Balaenoptera musculus,Chordata,Mammalia,Artiodactyla,Balaenopteridae,pelagic,filter_feeder,0-500,2500,protected
Tursiops truncatus,Chordata,Mammalia,Artiodactyla,Delphinidae,pelagic,carnivore,0-500,300,protected
Delphinus delphis,Chordata,Mammalia,Artiodactyla,Delphinidae,pelagic,carnivore,0-300,200,protected
Sphyrna lewini,Chordata,Chondrichthyes,Carcharhiniformes,Sphyrnidae,pelagic,carnivore,0-275,370,medium
Carcharhinus leucas,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,demersal,carnivore,0-150,340,low
Rhincodon typus,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,pelagic,filter_feeder,0-1900,1200,protected
Manta birostris,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,pelagic,filter_feeder,0-120,500,protected
Mobula munkiana,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,pelagic,filter_feeder,0-100,110,protected
Heterodontus francisci,Chordata,Chondrichthyes,Heterodontiformes,Heterodontidae,benthic,carnivore,0-150,100,low
Sula nebouxii,Chordata,Aves,Suliformes,Sulidae,pelagic,carnivore,0-25,80,protected
Pelecanus occidentalis,Chordata,Aves,Pelecaniformes,Pelecanidae,pelagic,carnivore,0-20,120,protected
Fregata magnificens,Chordata,Aves,Suliformes,Fregatidae,pelagic,carnivore,0-2,100,protected
Phocoena sinus,Chordata,Mammalia,Artiodactyla,Phocoenidae,pelagic,carnivore,0-50,150,protected
Totoaba macdonaldi,Chordata,Actinopterygii,Perciformes,Sciaenidae,demersal,carnivore,0-50,200,protected
Rhizophora mangle,Plantae,Magnoliopsida,Malpighiales,Rhizophoraceae,coastal,primary_producer,0,500,ecological
Avicennia germinans,Plantae,Magnoliopsida,Lamiales,Acanthaceae,coastal,primary_producer,0,300,ecological
Zostera marina,Plantae,Magnoliopsida,Alismatales,Zosteraceae,benthic,primary_producer,0-10,100,ecological
Macrocystis pyrifera,Chromista,Phaeophyceae,Laminariales,Laminariaceae,benthic,primary_producer,0-30,4500,ecological
Pocillopora damicornis,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,benthic,mixotroph,0-40,50,ecological
Porites panamensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,benthic,mixotroph,0-30,100,ecological
Pavona gigantea,Cnidaria,Anthozoa,Scleractinia,Agariciidae,benthic,mixotroph,0-30,200,ecological
Farfantepenaeus californiensis,Arthropoda,Malacostraca,Decapoda,Penaeidae,benthic,omnivore,0-180,20,high
Litopenaeus vannamei,Arthropoda,Malacostraca,Decapoda,Penaeidae,benthic,omnivore,0-72,23,high
Penaeus stylirostris,Arthropoda,Malacostraca,Decapoda,Penaeidae,benthic,omnivore,0-45,22,high
Strombus galeatus,Mollusca,Gastropoda,Littorinimorpha,Strombidae,benthic,herbivore,0-30,20,medium
Hexaplex erythrostomus,Mollusca,Gastropoda,Neogastropoda,Muricidae,benthic,carnivore,0-30,15,medium
Strongylocentrotus franciscanus,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,benthic,herbivore,0-90,18,medium
Mesocentrotus franciscanus,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,benthic,herbivore,0-125,19,medium
Apostichopus parvimensis,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,benthic,detritivore,0-30,25,medium
Haliotis fulgens,Mollusca,Gastropoda,Lepetellida,Haliotidae,benthic,herbivore,0-18,20,high
Haliotis corrugata,Mollusca,Gastropoda,Lepetellida,Haliotidae,benthic,herbivore,0-40,25,high
